"","SurveyID","ProjectID","LocationName","Date","Collectors","Longitude","Latitude","SurveyTypeID","Plot.Name","SpeciesVarietalCode","SpeciesVarietalName","Measurement","CanopyID","Woody_DBH_cm","Woody_Height_m","ProjCode","Genus"
"12",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",3,"",9,8,"HOWY","Salix"
"13",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",4,"",6.5,8,"HOWY","Salix"
"14",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",5,"",5.3,8,"HOWY","Salix"
"15",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",6,"",5.9,3.5,"HOWY","Salix"
"16",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",7,"",11,4,"HOWY","Salix"
"17",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",8,"",20,5.5,"HOWY","Salix"
"18",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",9,"",5.9,2.3,"HOWY","Salix"
"19",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",10,"",28.3,5,"HOWY","Salix"
"20",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",11,"",5.7,2.76,"HOWY","Salix"
"21",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",12,"",6,2.76,"HOWY","Salix"
"22",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",13,"",10.2,1.8,"HOWY","Salix"
"23",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",14,"",9,1.8,"HOWY","Salix"
"24",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",15,"",10.9,1.8,"HOWY","Salix"
"25",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",16,"",7.2,1.8,"HOWY","Salix"
"26",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",17,"",6.7,1.8,"HOWY","Salix"
"27",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",18,"",8.5,3.78,"HOWY","Salix"
"28",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",19,"",11.5,3.78,"HOWY","Salix"
"29",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","POFR","Populus fremontii",20,"",99.8,13.48,"HOWY","Populus"
"30",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",21,"",7.02,1.27,"HOWY","Acer"
"31",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",22,"",5.6,2.3,"HOWY","Acer"
"32",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",23,"",6,1.84,"HOWY","Salix"
"33",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",24,"",13.5,1.5,"HOWY","Salix"
"34",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",25,"",19.8,6,"HOWY","Salix"
"35",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",26,"",7.2,2.31,"HOWY","Salix"
"36",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",27,"",6.6,2.31,"HOWY","Salix"
"37",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",28,"",13.2,3.2,"HOWY","Salix"
"38",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",29,"",13.7,3.91,"HOWY","Salix"
"39",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",30,"",42,2,"HOWY","Salix"
"40",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",31,"",6.6,4.22,"HOWY","Salix"
"41",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",32,"",7.6,4.22,"HOWY","Salix"
"42",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",33,"",6.5,4.22,"HOWY","Salix"
"43",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",34,"",40,4.22,"HOWY","Salix"
"44",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",35,"",7.4,4.22,"HOWY","Salix"
"45",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",36,"",10.3,4.22,"HOWY","Salix"
"46",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",37,"",8.5,4.22,"HOWY","Salix"
"47",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",38,"",8.5,4.22,"HOWY","Salix"
"48",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",39,"",6.5,4.22,"HOWY","Salix"
"49",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",40,"",9,4.22,"HOWY","Salix"
"50",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",41,"",5.1,4.22,"HOWY","Salix"
"51",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",42,"",16,4.22,"HOWY","Acer"
"52",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",43,"",5,4.22,"HOWY","Acer"
"53",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",44,"",5.9,4.22,"HOWY","Acer"
"54",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",45,"",5.8,4.22,"HOWY","Salix"
"55",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",46,"",6,4.22,"HOWY","Salix"
"56",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",47,"",5.2,4.22,"HOWY","Salix"
"57",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",48,"",7.8,4.22,"HOWY","Salix"
"58",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",49,"",46,3.89,"HOWY","Salix"
"59",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",50,"",6.6,1.42,"HOWY","Salix"
"60",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","SALA6","Salix lasiolepis",51,"",7.9,3.8,"HOWY","Salix"
"61",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",52,"",18.5,6.83,"HOWY","Acer"
"62",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",53,"",15.4,6.66,"HOWY","Acer"
"63",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",54,"",24.9,6.66,"HOWY","Acer"
"64",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",55,"",8.2,6.66,"HOWY","Acer"
"65",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",56,"",14.3,2.23,"HOWY","Acer"
"66",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",57,"",8.7,3.69,"HOWY","Acer"
"67",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",58,"",10.2,1.03,"HOWY","Acer"
"68",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",59,"",17,5.38,"HOWY","Acer"
"69",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","ACNE","Acer negundo",60,"",5.7,5.38,"HOWY","Acer"
"70",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","FRLA","Fraxinus latifolia",9,"",7,4.4,"HOWY","Fraxinus"
"72",7,"Heritage Oak Winery","RIP02","3/20/2012","A. Goodson, S. Fuller, S. Tremayne, M. Vaghti",-121.19,38.15,"Plant","RIP02","QULO","Quercus lobata",21,"",18.9,8.1,"HOWY","Quercus"
"77",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",5,"",64.5,37,"HOWY","Quercus"
"95",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",23,"",89.8,24.98,"HOWY","Quercus"
"96",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",24,"",83,24.83,"HOWY","Quercus"
"107",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",35,"",139.4,19.9,"HOWY","Quercus"
"108",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","QULO","Quercus lobata",36,"",75.5,16.9,"HOWY","Quercus"
"117",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","ACNE","Acer negundo",21,"",7.02,1.27,"HOWY","Acer"
"118",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","FRLA","Fraxinus latifolia",9,"",7,4.4,"HOWY","Fraxinus"
"120",8,"Heritage Oak Winery","RIP03","3/20/2012","N. Suzuki, B. Harlan,M. Vaghti, J. Romero",-121.19,38.16,"Plant","RIP03","POFR","Populus fremontii",1,"",28.7,20,"HOWY","Populus"
"121",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",1,"",8.5,5.91,"HOWY","Populus"
"122",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",2,"",7.8,5.91,"HOWY","Populus"
"123",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",3,"",10.2,5.91,"HOWY","Populus"
"124",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",4,"",5.4,5.91,"HOWY","Populus"
"125",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",5,"",6.9,5.91,"HOWY","Populus"
"126",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",6,"",5.2,5.91,"HOWY","Populus"
"127",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",7,"",6.1,5.91,"HOWY","Populus"
"128",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",8,"",5,5.91,"HOWY","Populus"
"129",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",9,"",6.7,5.91,"HOWY","Populus"
"130",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",10,"",6.1,5.91,"HOWY","Populus"
"131",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",11,"",5.4,5.91,"HOWY","Populus"
"132",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",12,"",5,5.91,"HOWY","Populus"
"133",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",13,"",8.8,5.91,"HOWY","Populus"
"134",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",14,"",9.5,5.91,"HOWY","Populus"
"135",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",15,"",7,5.91,"HOWY","Populus"
"136",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",16,"",6.9,5.91,"HOWY","Populus"
"137",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",17,"",10.5,5.91,"HOWY","Populus"
"138",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",18,"",7.1,5.91,"HOWY","Populus"
"139",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",19,"",5.8,5.91,"HOWY","Populus"
"140",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",20,"",5.8,5.91,"HOWY","Populus"
"141",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",21,"",5.5,5.91,"HOWY","Populus"
"142",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",22,"",5,5.91,"HOWY","Populus"
"143",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",23,"",5.3,5.91,"HOWY","Populus"
"144",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",24,"",7.2,5.91,"HOWY","Populus"
"145",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",25,"",9.3,5.91,"HOWY","Populus"
"146",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",26,"",5.2,5.91,"HOWY","Populus"
"147",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",27,"",6.2,5.91,"HOWY","Populus"
"148",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",28,"",8.6,5.91,"HOWY","Populus"
"149",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",29,"",10.3,5.91,"HOWY","Populus"
"150",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",30,"",7.6,5.91,"HOWY","Populus"
"151",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",31,"",5.8,5.91,"HOWY","Populus"
"152",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",32,"",6.8,5.91,"HOWY","Populus"
"153",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",33,"",7,5.91,"HOWY","Populus"
"154",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",34,"",6.3,5.91,"HOWY","Populus"
"155",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",35,"",7.1,5.91,"HOWY","Populus"
"156",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",36,"",5.6,5.91,"HOWY","Populus"
"157",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",37,"",5.4,5.91,"HOWY","Populus"
"158",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",38,"",8.5,5.91,"HOWY","Populus"
"159",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",39,"",7.7,5.91,"HOWY","Populus"
"160",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",40,"",13,5.91,"HOWY","Populus"
"161",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",41,"",7.4,5.91,"HOWY","Populus"
"162",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",42,"",9.9,5.91,"HOWY","Populus"
"163",9,"Heritage Oak Winery","RIP04","3/20/2012","J. Romero, N. Suzuki, B. Harlan, M. Vaghti",-121.19,38.16,"Plant","RIP04","POFR","Populus fremontii",43,"",6,5.91,"HOWY","Populus"
